Delta fr 0°	Delta fr err 0°	Delta n_s 0°	Delta n_s 0° err	Delta fr 45°	Delta fr err 45°	Delta n_s 45°	Delta n_s 45° err	Delta fr 90°	Delta fr err 90°	Delta n_s 90°	Delta n_s 90° err	Delta fr 135°	Delta fr err 135°	Delta n_s 135°	Delta n_s 135° err	fields 0°	fields 45°	fields 90°	fields 135°			
0	3.86015670393145E-6	0	1.21226323240867E-5	0	1.10030140829656E-5	0	3.45484285853799E-5	0	3.76299355530496E-6	0	1.18172855002591E-5	0	1.37501840129046E-5	0	4.11983251428164E-5	0	0	0	0			
2.34285625477357E-5	3.85032867375888E-6	7.35790765795263E-5	1.20925349954478E-5	-5.97468800427761E-5	1.26417946900548E-5	-1.87581200553097E-4	3.96872917292767E-5	-1.05564332111491E-5	3.8225178475383E-6	-3.31507941991019E-5	1.2003869561809E-5	7.40341089018243E-6	1.4776168455535E-5	2.21823582391804E-5	4.42732209490623E-5	0.005	0.005	0.005	0.005			
-3.24086955335491E-5	3.79721355236237E-6	-1.01772504031961E-4	1.19239222673691E-5	-3.07718955259667E-5	1.49474355617488E-5	-9.66159800566236E-5	4.69292502369435E-5	-3.79082927793859E-5	3.84710250850024E-6	-1.19039604127699E-4	1.20801681898275E-5	-2.51161030934418E-5	1.42556822614169E-5	-7.52500837511685E-5	4.27101868998122E-5	0.01	0.01	0.01	0.01			
-8.17999204637408E-5	3.82125495527789E-6	-2.56854160730918E-4	1.19978141812585E-5	-3.17369763212954E-5	1.4059130614501E-5	-9.96459323114428E-5	4.41402411298828E-5	-3.51593007171353E-5	4.22503975778402E-6	-1.10407718327158E-4	1.32669735852385E-5	-1.09047113298588E-4	1.3081098933616E-5	-3.26673849713692E-4	3.91831755211472E-5	0.015	0.015	0.015	0.015			
-1.36266483098258E-4	3.9579433908171E-6	-4.27842548669423E-4	1.24250892535232E-5	-4.38833079932059E-5	1.42452889824972E-5	-1.3777954137497E-4	4.47230967219422E-5	-2.10654121449119E-4	3.93800660450052E-6	-6.61308587131039E-4	1.23597074656315E-5	-2.15755391412541E-4	1.32786839567312E-5	-6.46238055302633E-4	3.97645197378743E-5	0.02	0.02	0.02	0.02			
-2.67651364168741E-4	3.83309548562049E-6	-8.40177038045899E-4	1.20289439937E-5	-1.2658405204707E-4	1.48021200606107E-5	-3.97379516986549E-4	4.64598247338214E-5	-2.78909121270176E-4	3.7695149578677E-6	-8.75484192520056E-4	1.18288131815052E-5	-3.76047055822638E-4	1.33226540266175E-5	-0.00112607922007196	3.98804230570719E-5	0.025	0.025	0.025	0.025			
-4.00807565381988E-4	3.86279448560723E-6	-0.00125788933211646	1.21177407814273E-5	-1.91095455099146E-4	1.50155507905027E-5	-5.99833762044377E-4	4.71206332925478E-5	-4.68559399974928E-4	3.77023365083026E-6	-0.00147033130614165	1.18249833382056E-5	-5.87004112766341E-4	1.33759943315777E-5	-0.00175723924537492	4.00192066686347E-5	0.03	0.03	0.03	0.03			
-5.94800767365318E-4	4.68136522551862E-6	-0.00186612154627331	1.46763249288368E-5	-2.70181147788784E-4	1.67155980395875E-5	-8.47967647931552E-4	5.24424198812902E-5	-7.19351152940808E-4	3.91092716240979E-6	-0.0022563837706935	1.22575616858213E-5	-8.57547794837903E-4	1.25014482239951E-5	-0.00256609325230549	3.73801735150141E-5	0.035	0.035	0.035	0.035			
-8.55363499351392E-4	4.95136550054113E-6	-0.0026824625379584	1.55105539979527E-5	-3.45857506550636E-4	2.08308108050173E-5	-0.00108534440614518	6.53362391316571E-5	-0.00102125391501203	4.79767817006794E-6	-0.00320177587199956	1.50216053257091E-5	-0.0013127970155881	1.26860432737149E-5	-0.00392569211775008	3.7890013391877E-5	0.04	0.04	0.04	0.04			
-0.00125898585554936	7.27815617450283E-6	-0.00394563267780491	2.27671293519019E-5	-5.78007118342574E-4	2.74006706434801E-5	-0.00181316913461863	8.58771911506305E-5	-0.00143507001975068	7.22237974115682E-6	-0.00449609996638432	2.25796786563831E-5	-0.00194319594483478	1.29718991461255E-5	-0.00580532309563761	3.86831353798085E-5	0.045	0.045	0.045	0.045			
-0.00173908102635314	1.01416594180158E-5	-0.0054459576841093	3.16728950483627E-5	-7.20189974374952E-4	3.36449738761967E-5	-0.00225866086287196	1.05397536090075E-4	-0.0019181230959324	1.09278231274736E-5	-0.00600476445565773	3.41070465581166E-5	-0.00284195297326071	1.31663012128938E-5	-0.00847899344888936	3.91753028170944E-5	0.05	0.05	0.05	0.05			
-0.00215857185417539	1.39161553856039E-5	-0.00675496136606278	4.33990716115087E-5	-8.97673370203874E-4	3.69990179213853E-5	-0.00281446614846245	1.15837311830397E-4	-0.00240353132542492	1.86753612038953E-5	-0.00751838343896597	5.81912315345782E-5	-0.00409923286157852	1.48503160008569E-5	-0.0122072069992043	4.40294186901985E-5	0.055	0.055	0.055	0.055			
