Delta fr 0°		Delta fr err 0°		Delta n_s 0°		Delta n_s 0° err	Delta fr 45°		Delta fr err 45°	Delta n_s 45°		Delta n_s 45° err	Delta fr 90°		Delta fr err 90°	Delta n_s 90°		Delta n_s 90° err	Delta fr 135°		Delta fr err 135°	Delta n_s 135°		Delta n_s 135° err	fields 0°	fields 45°	fields 90°	fields 135°			
0			3.81312667827902E-6	0			9.73376726758254E-6	0			6.04608259628807E-6	0			1.54346576515499E-5	0			4.11187898212623E-6	0			1.04964482015641E-5	0			8.52303988643802E-6	0			2.17572245280728E-5	0	0	0	0			
3.40299657446281E-5	6.02374916111836E-6	8.68713948090219E-5	1.53778663717827E-5	5.26471517875569E-5	6.64509487398415E-6	1.34406997276023E-4	1.69655140693793E-5	-9.71917191204127E-5	3.81849868531308E-6	-2.48077212286976E-4	9.74584147133627E-6	6.44479061590137E-5	7.38916132461408E-6	1.64530815887087E-4	1.88648240973612E-5	0.005	0.005	0.005	0.005			
-3.46618629873574E-5	4.51055388310829E-6	-8.84780982402084E-5	1.15133280534651E-5	-3.59878242126507E-5	6.31314694802964E-6	-9.18675344156366E-5	1.61153549524014E-5	-1.19836815940354E-4	4.2658603084769E-6	-3.05870447105935E-4	1.08871061683196E-5	-2.24272921058334E-5	6.60156323439905E-6	-5.7250008890838E-5	1.68515455791698E-5	0.01	0.01	0.01	0.01			
-6.45888341084073E-5	4.19117999294541E-6	-1.64864686675684E-4	1.06975270989116E-5	-6.44473486938565E-5	5.20591012543289E-6	-1.64512352738426E-4	1.32883509612391E-5	-6.06410101405455E-5	4.24994749565644E-6	-1.54789232125421E-4	1.08476826457055E-5	-2.6666756252412E-5	7.04616436513258E-6	-6.80717588079589E-5	1.79863086176289E-5	0.015	0.015	0.015	0.015			
-1.12756464709551E-4	4.89604643125093E-6	-2.87799229551465E-4	1.24954056660351E-5	-1.28489010475871E-4	5.44970190049261E-6	-3.27967010758879E-4	1.39090399017375E-5	-6.73226675013034E-5	3.62444888866144E-6	-1.71843290328882E-4	9.25108907474018E-6	-5.22864837863333E-5	6.72460882423231E-6	-1.33467186108927E-4	1.71647810553497E-5	0.02	0.02	0.02	0.02			
-2.57854577389081E-4	4.0983915910308E-6	-6.58046664894211E-4	1.04569296398944E-5	-1.8455673741437E-4	5.54767143412339E-6	-4.71051560623851E-4	1.4157650639206E-5	-1.17365976775995E-4	3.80893784273915E-6	-2.99564677843877E-4	9.72109136535357E-6	-8.08982681609541E-5	7.44517593519832E-6	-2.06495794358639E-4	1.90030226906342E-5	0.025	0.025	0.025	0.025			
-3.63383497258296E-4	4.57971101635691E-6	-9.27254202116342E-4	1.16824992708103E-5	-2.88279651726434E-4	5.41149701738739E-6	-7.35707378517284E-4	1.38076542166923E-5	-1.37722495859068E-4	4.00946591683933E-6	-3.5151508295765E-4	1.02324591661839E-5	-1.75075962547294E-4	6.87339947377819E-6	-4.46843509197708E-4	1.75409361657241E-5	0.03	0.03	0.03	0.03			
-5.44326194331459E-4	4.13656535335556E-6	-0.00138870545658693	1.05486622322892E-5	-3.5697827848866E-4	5.44117040119199E-6	-9.10964615057291E-4	1.3881669029665E-5	-1.92398719348951E-4	4.0171091654612E-6	-4.91039311477808E-4	1.02509458661022E-5	-2.58436866182347E-4	6.90642152650415E-6	-6.59546300909525E-4	1.76227206280478E-5	0.035	0.035	0.035	0.035			
-7.70657050767942E-4	6.88137817173593E-6	-0.00196566103549578	1.75387618563005E-5	-4.66589411175215E-4	7.24288918960902E-6	-0.00119054136344711	1.84734112934198E-5	-2.35520995524877E-4	4.5171811467914E-6	-6.01068544843117E-4	1.15259733828875E-5	-3.44963769756359E-4	7.39714252303138E-6	-8.80287944580002E-4	1.88717623727383E-5	0.04	0.04	0.04	0.04			
-9.27079287196653E-4	1.40143234439954E-5	-0.00236424714137605	3.57052869285349E-5	-5.46018447566861E-4	1.12652778025957E-5	-0.00139309463112875	2.87266121431183E-5	-2.35726764384949E-4	6.79864593587356E-6	-6.01593553245444E-4	1.73467962005181E-5	-3.98258514965141E-4	9.73057024042996E-6	-0.00101622992094768	2.48210275387109E-5	0.045	0.045	0.045	0.045			
-0.0011132960998532	1.56675900645932E-5	-0.00283858299846058	3.99017602057429E-5	-6.96369821754046E-4	1.12772960550925E-5	-0.00177641537162229	2.87484977107721E-5	-3.02980423762113E-4	9.66399224729811E-6	-7.73175536759624E-4	2.46540442214312E-5	-6.19454025270425E-4	1.21938016475768E-5	-0.0015802830614607	3.10898047954095E-5	0.05	0.05	0.05	0.05			
-0.00148863045814531	2.03087941767704E-5	-0.00379407876889961	5.16808127335401E-5	-8.64082678258086E-4	1.45207178219838E-5	-0.00220385607489221	3.70031663161539E-5	-4.0579626232119E-4	9.16259700122689E-6	-0.00103543915055022	2.33700371666859E-5	-7.51248920696712E-4	1.45978538253845E-5	-0.00191623793417031	3.7208469446046E-5	0.055	0.055	0.055	0.055			
-0.00164504284601209	1.28152343440983E-5	-0.00419203801164931	3.26016773139067E-5	-0.00102971354076565	1.6745501673345E-5	-0.00262584243108341	4.26575271374699E-5	-4.7118616631184E-4	1.52269169270935E-5	-0.00120220680752392	3.8831783177865E-5	-8.63977810817362E-4	1.55437507300647E-5	-0.00220351821466364	3.96101054331459E-5	0.06	0.06	0.06	0.06			
-0.00194215957157767	2.27674764257598E-5	-0.0049476299722128	5.78823126872773E-5	-0.00121500037316789	1.57254473890593E-5	-0.00309773300888567	4.00439186533746E-5	-5.01469352980908E-4	1.16431832946554E-5	-0.00127943199424085	2.9690860397819E-5	-0.00103668430745714	1.68136719567906E-5	-0.00264351428477806	4.28307473384012E-5	0.065	0.065	0.065	0.065			
-0.00223358975835986	2.68630064553038E-5	-0.00568830186849108	6.82524389858594E-5	-0.0013959796639663	1.5756259171861E-5	-0.00355847545963417	4.01073846811317E-5	-5.49956310114706E-4	1.3089052556966E-5	-0.00140306838464345	3.33744364196093E-5	-0.00120696521753213	1.73511207741638E-5	-0.00307717424433491	4.41842948865726E-5	0.07	0.07	0.07	0.07			
-0.00216056891350255	1.27450119874458E-5	-0.00550276150748627	3.23883071485602E-5	-0.00144906825227199	6.54122806210312E-6	-0.00369359667545847	1.66534985675652E-5	-5.58431777069304E-4	1.37758276805335E-5	-0.00142467859448267	3.51249035482006E-5	-0.00129613030203836	7.74901814509781E-6	-0.00330419188902627	1.97359618805529E-5	0.075	0.075	0.075	0.075			
-0.00216359390511315	2.650732466134E-5	-0.00551044834489611	6.73586513969203E-5	-0.00162644276430439	6.48014980964501E-6	-0.00414494128437505	1.64926452446233E-5	-5.96910438662873E-4	1.26185790242346E-5	-0.00152278420483005	3.21717249200826E-5	-0.00153835533706374	8.55935956814531E-6	-0.00392069088741885	2.17884483589345E-5	0.08	0.08	0.08	0.08			
-0.00114339880995683	5.91181952669224E-5	-0.00291524387824371	1.50548413316564E-4	-0.00185163586524903	8.33092748068787E-6	-0.00471772170035593	2.11904454765024E-5	-6.85252499486508E-4	1.43721065500001E-5	-0.00174799201327309	3.66355476142316E-5	-0.00169102639116905	8.91773428403201E-6	-0.00430910016322128	2.2693541671049E-5	0.085	0.085	0.085	0.085			
		--	--			-0.0021726647588028	1.27158527114563E-5	-0.00553379207014713	3.231773806016E-5	-6.94854831313775E-4	1.27429095364513E-5	-0.00177246843111018	3.2482094795934E-5	-0.00204836352816754	8.47620645962779E-6	-0.00521771120680013	2.15568559493666E-5								0.09	0.09	0.09			
		--	--			-0.0023951470136934	1.07999543922403E-5	-0.00609902899528654	2.74375312440945E-5	-6.84148938299027E-4	1.2983035237864E-5	-0.00174517899560474	3.30948948816279E-5	-0.00203320960170506	1.51041480630016E-5	-0.00517919276797047	3.8399361436645E-5								0.095	0.095	0.095			
		--	--			-0.00238376757561343	8.20561862057676E-6	-0.00607012489126799	2.08501749942463E-5	-7.35559303399742E-4	1.2668043175479E-5	-0.00187621895089874	3.22885371890103E-5	-0.00209642583983883	1.69037948044159E-5	-0.00533986846433621	4.29675445649289E-5								0.1	0.1	0.1			
		--	--			-0.00245080933198304	1.00460705719486E-5	-0.00624040293338173	2.55202438122076E-5	-7.06718503238619E-4	1.23151094450507E-5	-0.00180270833909137	3.13908901406854E-5	-0.00216527714742305	1.80384512291423E-5	-0.00551484241430174	4.58444459168846E-5								0.105	0.105	0.105			
		--	--			--			--			--			--			-0.00209025375342211	1.0976537792836E-5	-0.00532418191290818	2.7907066599786E-5																					0.11			
