angles °	25 mT delta fr	25 mT delta fr err	25 mT delta ns	25 mT delta ns err	50 mT delta fr	50 mT delta fr err	50 mT delta ns	50 mT delta ns err	75 mT delta fr	75 mT delta fr err	75 mT delta ns	75 mT delta ns err	100 mT delta fr	100 mT delta fr err	100 mT delta ns	100 mT delta ns err	angles 50 mT
0	0			1.95133943804142E-5	0			6.12525177160026E-5	0			7.90180330446778E-5	0			2.4765653054349E-4	0			4.33937935334406E-5	0			1.35810561829677E-4	0			0.00155923915092151	0			0.00482399004516724	0
15	7.8742424013728E-5	1.90574753373713E-5	2.47204262523685E-4	5.98340184065121E-5	4.66496448286274E-4	7.33458745741255E-5	0.00146319798050734	2.30159069134091E-4	4.08886941636988E-4	5.33676477751407E-5	0.00128055621641677	1.67223208113691E-4	0.0102283787112396	0.00111534981455092	0.0321682352929318	0.00352573170637727	15
30	1.35401935880383E-4	1.99354277002866E-5	4.25120830073363E-4	6.26004361509809E-5	7.9137078813649E-4	6.49394152488157E-5	0.00248350779448549	2.03923162024721E-4	0.00124420124193629	4.91913258624977E-5	0.00390191589704851	1.54496541015472E-4	0.0110173843138887	0.00111555629524904	0.034693860320459	0.00353221131552141	30
45	1.36286399662086E-4	1.87107477379044E-5	4.27898397315461E-4	5.87542959796098E-5	7.9914290900017E-4	6.33257491077986E-5	0.00250793042581501	1.9885276324569E-4	0.00147495163909208	4.6994558128961E-5	0.00462731078893806	1.47684044151949E-4	0.0115489406809622	0.00111597833456387	0.0363990142511328	0.00353750079076439	45
60	9.39717383782556E-5	1.84744075354371E-5	2.95022594163579E-4	5.8005542547769E-5	6.78008222894767E-4	6.49043048178926E-5	0.00212735485937693	2.0375668864025E-4	0.00117361038140755	5.19602902312164E-5	0.00368011316313906	1.63169357810356E-4	0.0110091546079436	0.00111557881080623	0.0346674836425878	0.00353222372559752	60
75	1.2461702217259E-5	1.74758671478512E-5	3.91180648347527E-5	5.48584780844127E-5	3.00634071826599E-4	6.84691569403332E-5	9.42703621863215E-4	2.14756669891971E-4	2.73625837991067E-4	4.89791287413649E-5	8.56755170496778E-4	1.5340928852724E-4	0.00922722956228367	0.00111301057889182	0.0289727700810157	0.00351083326580431	75
90	-1.27433035537185E-4	1.92598379643639E-5	-3.99928588897032E-4	6.04358580574504E-5	-2.01792355527532E-4	7.71530271863298E-5	-6.32244534752837E-4	2.41680854571378E-4	-4.78817288395718E-4	6.94298771734276E-5	-0.00149739700614489	2.16980425306185E-4	0.00289112374642104	0.00158304289949502	0.00898597599149836	0.00493542158842295	90
105	-1.89961755252827E-4	1.84260645669685E-5	-5.96104083891316E-4	5.78104001045041E-5	-7.01552157207548E-4	8.8212372467276E-5	-0.00219627068276738	2.75928199631953E-4	-0.00558100351344692	0.00116517224502522	-0.0173094232429875	0.00358115636184081	2.84425508271913E-4	0.00153496217133169	8.80357614975186E-4	0.00475242641237414	105
120	-2.83660512717344E-4	1.78578097291086E-5	-8.89996159186077E-4	5.60143454307353E-5	-0.00105949117231532	1.16408709532183E-4	-0.00331489292525896	3.63685560611604E-4	-0.00679692659141119	0.0011378117074459	-0.021039201412529	0.00348333430809888	5.31393167005736E-4	0.00153310392953057	0.00164542307758988	0.0047497461668193	120
135	-2.29569069528525E-4	1.70689359741641E-5	-7.20345939438606E-4	5.35482101617948E-5	-0.00109050094773556	9.29340997530085E-5	-0.00341174240084648	2.90365781128603E-4	-0.00593341493420688	0.00116476116466001	-0.0183919371535509	0.00357581147836002	5.72392290612341E-4	0.00153818079700605	0.00177248999793517	0.00476599749653633	135
150	-1.8369736940032E-4	1.59686552796183E-5	-5.76452223129513E-4	5.01032377014525E-5	-0.00107689172483031	1.00946617334207E-4	-0.00336923939488734	3.15391398767042E-4	-0.00534349228470457	0.00118132199029909	-0.0165791549118228	0.00363358563829388	4.73811872055354E-4	0.00154108210473393	0.00146699175989931	0.00477375591525809	150
165	-1.27057208699089E-4	1.7285302957658E-5	-3.98749360909246E-4	5.42409498795518E-5	-6.35332457983785E-4	9.43660361486853E-5	-0.00198917915070917	2.95221077149458E-4	-0.00394788874068288	0.00114240850473153	-0.0122767627323753	0.00352982441758921	6.59412856583399E-4	0.00154323632599479	0.00204224437925299	0.00478276634099837	165
180	-1.33643590220245E-5	1.85222509320469E-5	-4.19497854339755E-5	5.81392639197085E-5	-6.37135559552684E-5	7.48853706174711E-5	-1.99668795309805E-4	2.34664604645885E-4	-8.55062107327566E-4	3.99129401572298E-5	-0.0026723832107968	1.24639946362448E-4	3.0951594090743E-5	0.00156342896318028	9.57630826749668E-5	0.00483734833084268	180
195	5.2252228462962E-5	1.91433824783004E-5	1.64033720145672E-4	6.00994861327616E-5	4.50522670872024E-4	7.01434645656315E-5	0.00141305822692498	2.20094636620846E-4	4.02472876553488E-4	5.59969830023012E-5	0.00126045540031372	1.75461189606356E-4	0.0102086740316796	0.0011143116604155	0.032105242402549	0.00352223033179151	195
210	1.31836914269972E-4	1.92744391291069E-5	4.13925329227177E-4	6.0523932705296E-5	8.09246262532371E-4	6.50149597072387E-5	0.00253967950663078	2.04169571709694E-4	0.00123582192666562	5.17601653615365E-5	0.00387558467328376	1.62569298620775E-4	0.011051576069211	0.00111551276568998	0.0348034543537539	0.00353232199367062	210
225	1.109685082312E-4	1.87403816606971E-5	3.48393356152291E-4	5.88434023120592E-5	8.98125709628424E-4	6.31247325586107E-5	0.00281902217078083	1.98267322747325E-4	0.00146918611371065	4.85230193079417E-5	0.00460917942754033	1.52491626621563E-4	0.0115501829469109	0.00111593983616225	0.0364030026851169	0.00353738476135986	225
