angles °	25 mT delta fr	25 mT delta fr err	25 mT delta ns	25 mT delta ns err	50 mT delta fr	50 mT delta fr err	50 mT delta ns	50 mT delta ns err	75 mT delta fr	75 mT delta fr err	75 mT delta ns	75 mT delta ns err	100 mT delta fr	100 mT delta fr err	100 mT delta ns	100 mT delta ns err	angles 50 mT
0	0	4.97319340397712E-6	0	1.26940902241572E-5	0	2.0823201269805E-5	0	5.31248267444345E-5	0	9.97311758586353E-6	0	2.54340746962098E-5					0
15	8.92881325209735E-6	5.20288955658315E-6	2.27910352502995E-5	1.32806099833648E-5	1.16657760543013E-4	2.26332792428499E-5	2.97657566024286E-4	5.77553485970029E-5	-4.36800833667326E-4	9.73587848286824E-6	-0.00111344623558205	2.48094086987724E-5					15
30	5.1001065017465E-5	4.53653404567317E-6	1.30187350861755E-4	1.15805630949443E-5	2.52611392117111E-4	1.90702807219532E-5	6.44641556631474E-4	4.86745233883809E-5	-3.79608988417517E-4	8.77993094040813E-6	-9.67716977478682E-4	2.23763009975544E-5					30
45	1.0759544072061E-4	5.69925726769216E-6	2.7466877057405E-4	1.45503361415157E-5	4.42154557796515E-4	1.61824108015161E-5	0.00112856356409144	4.13151439726435E-5	2.40845333381582E-4	8.05420849644045E-6	6.14374386569046E-4	2.05486567432577E-5	0	1.75069024812786E-5	0	4.46313796081926E-5	45
60	1.123590699076E-4	4.25188929533556E-6	2.86830762802507E-4	1.08550656113811E-5	6.5344443239454E-4	1.66030195681544E-5	0.0016682344075689	4.24043667853255E-5	8.16331045693992E-4	9.00569138957524E-6	0.00208364511102005	2.2999955011883E-5	9.52922242730376E-4	1.33832467757049E-5	0.00243177202397814	3.41716662421193E-5	60
75	1.05272589935033E-4	5.25224290611979E-6	2.68738358826352E-4	1.34089863760577E-5	7.96507821863009E-4	1.58298774616554E-5	0.00203377919109199	4.04379967123827E-5	0.0011715820392466	8.05284792671242E-6	0.00299152250321437	2.0577286438838E-5	0.00165701401285484	1.33220896739756E-5	0.0042316787578918	3.40542396325324E-5	75
90	1.66988563990236E-4	5.14626308103646E-6	4.26313705897324E-4	1.31399030977023E-5	8.37440806584555E-4	1.54987176873061E-5	0.00213838830336471	3.95939842214665E-5	0.00130977528192888	7.82056345242527E-6	0.00334487149323557	1.9987696461136E-5	0.00189398355641974	1.30021404194983E-5	0.00483805519633747	3.324765049705E-5	90
105	1.90898099086957E-4	5.18320965302942E-6	4.8736585513015E-4	1.32348321059036E-5	7.97157986285261E-4	1.56668169597614E-5	0.00203544069324336	4.00211758179156E-5	0.00123170089472517	8.17304062747729E-6	0.00314522896413378	2.08868359487649E-5	0.00164675132779854	1.31707094272101E-5	0.00420542460284393	3.36661065005647E-5	105
120	1.09955036553681E-4	4.89893694771316E-6	2.80693024865002E-4	1.25070534285479E-5	6.59062199514294E-4	1.57295465111244E-5	0.00168258642806233	4.0172566669538E-5	0.00100771832050929	8.71867439085609E-6	0.00257266912308353	2.22739347180292E-5	0.00102153120572925	1.28735501512905E-5	0.00260704373360136	3.28726397456758E-5	120
135	6.35830230801317E-5	4.55660851017483E-6	1.6230670779152E-4	1.16320694919634E-5	5.22259028336042E-4	1.68606284903785E-5	0.0013331360008225	4.30531783100793E-5	4.9410298115977E-4	9.32201689242836E-6	0.00126074681900365	2.37945781863498E-5	1.87563120061044E-4	1.83045601314918E-5	4.78259857798384E-4	4.66810677546925E-5	135
