angles °	25 mT delta fr	25 mT delta fr err	25 mT delta ns	25 mT delta ns err	50 mT delta fr	50 mT delta fr err	50 mT delta ns	50 mT delta ns err	75 mT delta fr	75 mT delta fr err	75 mT delta ns	75 mT delta ns err	100 mT delta fr	100 mT delta fr err	100 mT delta ns	100 mT delta ns err	angles 50 mT
150	-5.19640842037575E-6	4.97072589715598E-6	-1.32637746414472E-5	1.26876713530635E-5	2.37183515407304E-4	1.93885101066849E-5	6.05261184856352E-4	4.9485535940364E-5	-3.37303754770086E-4	1.13967663762037E-5	-8.5990869681054E-4	2.90462318613674E-5					150
165	6.58740962682145E-6	5.67255549794503E-6	1.68144982764377E-5	1.44793944713931E-5	1.25468548841493E-4	2.14941507668789E-5	3.20141657308752E-4	5.48492618361612E-5	-7.43133660261182E-4	1.38033676413804E-5	-0.0018937081469468	3.51510654467522E-5					165
180	-5.93951360293249E-5	4.89285618706185E-6	-1.515967756541E-4	1.24876795453148E-5	4.39618275966436E-7	2.09029494386968E-5	1.12156892861435E-6	5.33283257385798E-5	-5.19483782707643E-4	1.47903612319886E-4	-0.00132409786014618	3.76782054331401E-4					180
195	6.27992648309617E-5	5.98157817465649E-6	1.60305896516162E-4	1.52698305289394E-5	9.46836034437122E-5	2.28312733530534E-5	2.41583926758602E-4	5.82582171249337E-5	-3.99754097728031E-4	1.07999340854919E-5	-0.00101905027565105	2.75221368445113E-5					195
210	7.6475974688483E-5	6.2949739649107E-6	1.95220854880854E-4	1.60703137964658E-5	1.83507049716225E-4	1.86814548231512E-5	4.68259466936912E-4	4.76761287217155E-5	-1.94718392960817E-4	1.07452515679857E-5	-4.96481612562341E-4	2.7393277585084E-5					210
225	3.84483462226469E-5	5.10425178016354E-6	9.81434839723758E-5	1.30295402176397E-5	4.04151178443834E-4	1.72381719513238E-5	0.00103152180719507	4.40088098735648E-5	2.70547139678089E-4	7.85110408815391E-6	6.90162506308431E-4	2.00313562032162E-5	-3.2393566643626E-4	1.8002627693956E-5	-8.25547664657085E-4	4.58678279429225E-5	225
240	1.63236531587533E-4	7.69159386088163E-6	4.16733303274937E-4	1.96391921440808E-5	6.30472781531338E-4	1.62063141343959E-5	0.00160954922421993	4.13890274343516E-5	8.50462800888397E-4	9.44114038418989E-6	0.00217084260337862	2.41141391327785E-5	0.00102398157381053	1.35320714361053E-5	0.00261330402701679	3.45560222858271E-5	240
255	8.74789063086483E-5	4.34350788073145E-6	2.23310715869761E-4	1.10885065515308E-5	7.74799864419579E-4	1.59237902460991E-5	0.00197830557731344	4.06766434425605E-5	0.00128014739641527	8.03237293736855E-6	0.00326910673474084	2.05286467035205E-5	0.00173234977437877	1.33386485395211E-5	0.00442442115649299	3.41008023464387E-5	255
270	2.01022507262999E-4	7.12565696356304E-6	5.13219098179892E-4	1.81954654327614E-5	8.17656622770244E-4	1.57642591747735E-5	0.00208782634349818	4.02716242341202E-5	0.00144553745664096	8.01287011847547E-6	0.0036921043756796	2.04844126552928E-5	0.00190397615136165	1.31587329725525E-5	0.00486363167091539	3.36493682214458E-5	270
285	1.35331598480543E-4	4.94941460209747E-6	3.45483495752409E-4	1.26365171395923E-5	8.12974931022475E-4	1.57401347205081E-5	0.0020758617649902	4.02096422045109E-5	0.0013237909757639	8.05284362983096E-6	0.00338071422507106	2.05825273853419E-5	0.00173906322029975	1.30761458840941E-5	0.0044415986180377	3.34289458738814E-5	285
300	1.71746618513601E-4	6.01858087116403E-6	4.38462984330622E-4	1.53675017624608E-5	7.28675921515253E-4	1.61410736675141E-5	0.00186044652445324	4.12289648575578E-5	0.00103691668538801	8.97344847932762E-6	0.00264729274105866	2.2926460747261E-5	0.00107806571094211	1.32303287012907E-5	0.00275148843464748	3.37876966756757E-5	300
315	1.23395004552757E-4	5.23893999457423E-6	3.1500700788286E-4	1.33754721247975E-5	6.107443026622E-4	1.57898336141274E-5	0.00155915156551942	4.03234751160946E-5	5.42197267765386E-4	1.12485301957337E-5	0.00138353348645191	2.87160333734687E-5	2.11758273421387E-4	2.20905114522233E-5	5.39967843101972E-4	5.63396199053639E-5	305
330	8.27826463798508E-5	5.63371386442989E-6	2.11321350781533E-4	1.43823203048319E-5	5.91604712406445E-4	1.60131536735271E-5	0.00151026025849808	4.08928336671408E-5	-2.7947996020921E-4	1.12960892352564E-5	-7.12538292122979E-4	2.87928190080824E-5					307.5
345	-5.84375812747372E-5	4.80869458651251E-6	-1.49152917537156E-4	1.22729086489599E-5	5.95086383939989E-4	1.59544091626054E-5	0.00151915390079474	4.07429661050616E-5			--	--					310
360	-3.94951361070683E-5	5.1737407161147E-6	-1.00807256106071E-4	1.32050230537206E-5	5.06366589355071E-4	1.60983259177558E-5	0.0012925468246516	4.11047104349133E-5	-1.88649418810148E-4	1.09830682087926E-5	-4.81010361521482E-4	2.79998156514392E-5					312.5
			--	--	4.80358425327221E-4	1.64941998147686E-5	0.00122612508488231	4.21141625498183E-5			--	--					315
			--	--	4.16001641959908E-4	1.68714096905585E-5	0.00106178117355808	4.30730214620028E-5			--	--					317.5
			--	--	3.86727923635239E-4	1.74695960682197E-5	9.87034060067059E-4	4.45984943627335E-5			--	--					320
			--	--	1.87454493596465E-4	1.98161853885021E-5	4.78334242034933E-4	5.05727379200392E-5			--	--					330
			--	--	-8.53838513122101E-5	2.49461044822055E-5	-2.1781450092651E-4	6.3632930539992E-5			--	--					360
